,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,72.34221771931402,73.74573795855727,69.38476815510018,75.00058092553368,70.6926526977874,66.27275216225914,80.37934020425965,79.98814083474004,81.83999404639256,76.14145482107295,57.6657597875627,74.86553106865459,82.4882092752537,86.00925098015475,80.30326412572406,54.52895429852499,81.23068469813767,95.78691680518146,84.40060030479042,81.16157292513583,67.74381995661939,70.14348817760869,66.06771145894582,72.92205929237542,69.61731205882201
1,72.40121228705773,73.3376181794837,71.04289025031667,70.67268749003685,68.69947149074522,66.50692757029422,92.71068246712892,86.01088394556322,83.0012916104644,76.1668770141102,60.99126729829077,82.9507599490348,85.99704541698082,80.02853247283505,64.84699111336685,62.27132999393216,91.14021335763626,90.49190390556171,86.98497531726525,71.32409304250548,68.16493594302536,68.36328825522959,68.9193634586095,68.58482641104493,65.41019745378311
2,79.67917266448084,71.78829871360938,69.88037103101902,78.22195621504363,79.22317326161044,59.61226583470055,79.18556480554486,80.47560968563971,86.10914649914024,77.80180776099503,48.341487411138715,90.80176142065557,88.44077836926884,87.00293004141318,75.80863487075328,70.78791853006159,84.84582615547514,77.98190439325576,83.14478344086152,73.03524520719098,68.71754424188009,64.18356103247734,61.94960953370739,75.58971162718407,65.68433834249645
3,74.7769021413982,62.385468371083824,70.23772362009757,74.62683605619218,78.94800678449349,63.582719270754254,89.4824003693661,79.45854176525113,79.79125062775617,70.31426815945262,64.63480713509065,89.1311141545674,92.13379250963676,81.98388417432666,71.20782495151909,59.072718867716645,86.78975021475178,85.29647141043348,84.36513702506274,67.36351002563615,67.83948739378478,68.0464120145519,72.27480806534655,74.06944842748972,68.2929435971774
4,73.58757668886909,68.5946816101257,79.91450548759008,74.56813758328961,70.2889171924379,65.42856766125686,86.31083720733379,88.76935674852815,86.03233714080046,74.52146675754115,66.1141223130245,79.89574180544435,81.930367305971,85.69842845629947,71.19038788043228,66.38432721554818,89.20831507723166,85.14084616911998,91.19376502424792,80.99724182749699,70.85828389695587,74.40641538204976,62.73409096676643,64.99896000547017,70.8489861635117
5,74.24081283107674,76.13836246545894,68.42267359722526,80.17735019868475,69.21863845634321,57.77457411297005,83.16435077834319,81.38785706226325,85.18061614618,65.7807189966294,57.302807080367884,81.9832350377148,92.42661090119397,87.59149753328072,68.30569001535908,61.80393173082521,87.0238142598103,86.97172803326976,87.43449928554108,74.35524404410472,66.44406446745795,78.18565286690679,75.4071797103241,81.70886810811272,63.107305125341945
6,69.38550962580393,71.1072419333427,76.37225074269895,72.66333642194316,73.70212331728253,67.23817138458803,75.11579830920272,80.85743702990008,81.56861561023548,71.45000489355212,67.81548507449429,85.59896517647012,84.6313309047438,84.63822426644646,71.65968264305792,58.80733054683579,83.68210012547965,85.65883859357264,90.4968730680184,76.6438793748581,70.09353878858361,69.8316825025372,59.903741693075865,69.56572284020386,67.25076311835078
7,69.58968605002255,70.90847115939856,67.40729113802493,79.20288449379453,72.7525020086281,66.41056037427691,80.77145404803447,76.4905600561192,81.48872740680136,75.15656734954513,64.05407672569038,84.57342055816868,81.29997703069918,85.80948763746177,70.21951693623856,61.9652181641175,81.84602821807303,81.82797533313948,87.00249002588777,74.66567666076102,72.12608366449885,66.8923128775308,66.05859526548781,68.28117630407601,68.92001138162283
8,79.89936327115753,69.78685166202293,69.64023931376241,78.19867925809493,73.57205420681007,70.97964850702039,84.2698826334911,83.86409314092202,80.95921654361794,80.97045381844104,64.31901509470502,80.38913150840447,79.2574075437998,80.85628140874488,69.2582097371023,66.8352136288916,81.19392377446431,83.90306654142753,84.08163180832531,75.6465409406406,66.2528843657634,65.44226514697655,75.52352862974662,75.79890338425308,74.9989778256273
9,66.95347734853317,63.02880788946939,63.62188279687197,77.2227054526897,72.15069373241069,67.48802133672815,88.23089650337366,84.76326533908879,71.49767689318604,73.55107271897548,65.84176533474253,82.98334012649353,90.02300588155234,81.67060964586467,68.68217018974694,63.86059956193488,84.72980394647391,80.91763614565774,84.83576853723284,75.518290560331,71.4243091484268,66.39059079223473,72.11351707580181,78.0659605176137,71.45343685839676
10,74.32374116843832,73.23861583301424,81.47468146636925,71.1244006718235,75.36835363129426,65.017553899859,79.37523968375507,84.15346506679055,81.21715337349664,66.59108815028344,61.96734270002787,91.75957942899439,83.51598928952055,86.90174413727141,76.71797549853176,61.41984762508112,82.72577782398722,86.14788481043018,84.08316429252933,82.98775455288742,62.376892906846514,60.72092610448625,84.53011229039741,65.24995830080768,67.43139307968224
11,73.92132119672333,71.96764759868462,64.9564284550675,81.95746797001617,70.2856130878967,60.3216189736428,78.19225827854021,84.00907002375968,84.16270644779813,86.45469488019222,63.05811780921891,82.36200214024392,85.07648876465956,85.94499938942644,81.30106275661986,72.6347039163884,95.88187345877589,85.50686409641094,89.14425164695712,73.8616466138479,64.03386732056359,79.62813612589018,69.93713287535063,70.19210824554587,74.75674973538256
