phase,duration
0,11
1,3
2,27
3,3
6,10
7,3
2,10
3,3
6,35
7,3
2,14
3,3
6,28
7,3
2,10
3,3
4,10
5,3
6,17
7,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
0,10
1,3
2,10
3,3
6,21
7,3
4,10
5,3
6,12
7,3
2,10
3,3
6,10
7,3
4,10
5,3
2,11
3,3
0,19
1,3
6,21
7,3
2,16
3,3
6,11
7,3
2,14
3,3
6,10
7,3
2,15
3,3
6,14
7,3
2,10
3,3
6,24
7,3
2,12
3,3
4,10
5,3
6,12
7,3
4,11
5,3
2,10
3,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
6,19
7,3
2,10
3,3
4,10
5,3
6,40
7,3
0,10
1,3
2,27
3,3
4,10
5,3
0,10
1,3
2,12
3,3
4,10
5,3
6,38
7,3
0,10
1,3
2,10
3,3
4,13
5,3
6,12
7,3
2,21
3,3
6,29
7,3
2,15
3,3
0,10
1,3
2,11
3,3
4,11
5,3
6,20
7,3
2,24
3,3
4,10
5,3
6,28
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,10
7,3
0,10
1,3
2,10
3,3
6,14
7,3
2,20
3,3
6,26
7,3
2,15
3,3
4,10
5,3
6,14
7,3
2,16
3,3
6,21
7,3
2,10
3,3
4,13
5,3
6,10
7,3
4,11
5,3
6,16
7,3
4,10
5,3
6,11
7,3
0,10
1,3
6,11
7,3
2,10
3,3
6,10
7,3
4,11
5,3
6,10
7,3
4,11
5,3
6,10
7,3
0,10
1,3
2,15
3,3
0,10
1,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
