phase,duration
0,11
1,3
2,40
3,3
4,10
5,3
2,18
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,34
7,3
0,10
1,3
4,10
5,3
2,12
3,3
6,28
7,3
2,21
3,3
4,10
5,3
2,11
3,3
6,26
7,3
0,12
1,3
2,10
3,3
6,15
7,3
0,10
1,3
2,10
3,3
6,22
7,3
4,10
5,3
2,20
3,3
6,18
7,3
2,10
3,3
0,10
1,3
6,18
7,3
0,10
1,3
2,10
3,3
6,22
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,22
7,3
4,10
5,3
6,10
7,3
2,10
3,3
0,10
1,3
6,20
7,3
2,29
3,3
6,15
7,3
0,13
1,3
2,10
3,3
6,17
7,3
4,10
5,3
2,10
3,3
6,10
7,3
0,10
1,3
2,10
3,3
6,31
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
0,18
1,3
2,10
3,3
6,34
7,3
4,10
5,3
2,15
3,3
0,10
1,3
2,10
3,3
6,10
7,3
0,29
1,3
2,10
3,3
6,26
7,3
4,10
5,3
2,18
3,3
6,18
7,3
4,10
5,3
2,18
3,3
6,12
7,3
4,12
5,3
2,15
3,3
6,10
7,3
0,14
1,3
2,10
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,17
7,3
0,10
1,3
2,10
3,3
6,34
7,3
0,10
1,3
2,10
3,3
6,10
7,3
4,10
5,3
2,12
3,3
6,22
7,3
4,10
5,3
2,11
3,3
6,13
7,3
2,10
3,3
0,10
1,3
4,10
5,3
6,10
7,3
2,10
3,3
4,10
5,3
6,12
7,3
2,10
3,3
6,17
7,3
