phase,duration
0,40
1,3
2,10
3,3
0,40
1,3
2,15
3,3
6,11
7,3
0,11
1,3
2,40
3,3
4,10
5,3
2,16
3,3
6,22
7,3
2,11
3,3
6,16
7,3
0,10
1,3
6,15
7,3
0,11
1,3
6,12
7,3
4,11
5,3
2,10
3,3
6,23
7,3
0,10
1,3
2,11
3,3
4,12
5,3
6,10
7,3
0,10
1,3
2,10
3,3
4,13
5,3
2,10
3,3
4,12
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,28
3,3
4,10
5,3
2,10
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
6,10
7,3
2,10
3,3
6,10
7,3
0,15
1,3
4,10
5,3
6,10
7,3
2,24
3,3
4,12
5,3
2,38
3,3
6,18
7,3
2,30
3,3
6,10
7,3
2,14
3,3
6,18
7,3
2,13
3,3
6,16
7,3
0,23
1,3
2,10
3,3
4,20
5,3
0,10
1,3
4,25
5,3
0,10
1,3
2,10
3,3
6,18
7,3
0,10
1,3
6,25
7,3
0,23
1,3
6,10
7,3
0,10
1,3
2,10
3,3
4,10
5,3
2,10
3,3
4,10
5,3
6,14
7,3
2,10
3,3
6,12
7,3
0,10
1,3
2,11
3,3
0,10
1,3
2,19
3,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
4,10
5,3
6,10
7,3
2,18
3,3
4,10
5,3
6,10
7,3
2,11
3,3
4,10
5,3
6,21
7,3
4,10
5,3
0,23
1,3
4,27
5,3
2,10
3,3
6,10
7,3
2,10
3,3
0,10
1,3
2,10
3,3
0,11
1,3
