phase,duration
0,40
1,3
2,10
3,3
0,10
1,3
6,26
7,3
2,10
3,3
6,10
7,3
4,21
5,3
6,25
7,3
4,10
5,3
6,29
7,3
2,10
3,3
6,25
7,3
2,10
3,3
6,14
7,3
4,10
5,3
2,10
3,3
0,18
1,3
2,10
3,3
0,10
1,3
4,10
5,3
6,16
7,3
2,10
3,3
0,10
1,3
6,26
7,3
4,10
5,3
6,24
7,3
2,10
3,3
6,10
7,3
4,10
5,3
6,19
7,3
2,11
3,3
6,10
7,3
4,10
5,3
2,10
3,3
6,10
7,3
4,10
5,3
0,10
1,3
6,10
7,3
2,12
3,3
4,10
5,3
2,10
3,3
6,13
7,3
0,10
1,3
2,10
3,3
0,10
1,3
6,15
7,3
4,10
5,3
6,10
7,3
2,10
3,3
4,10
5,3
2,10
3,3
0,10
1,3
6,29
7,3
2,10
3,3
6,12
7,3
0,10
1,3
6,10
7,3
4,10
5,3
6,12
7,3
2,10
3,3
0,11
1,3
6,10
7,3
0,10
1,3
6,10
7,3
4,20
5,3
2,12
3,3
4,10
5,3
6,18
7,3
2,10
3,3
6,10
7,3
4,10
5,3
2,13
3,3
4,12
5,3
6,10
7,3
4,10
5,3
0,11
1,3
6,10
7,3
2,10
3,3
6,29
7,3
2,10
3,3
0,10
1,3
6,40
7,3
0,10
1,3
2,26
3,3
6,10
7,3
2,10
3,3
6,13
7,3
4,10
5,3
6,10
7,3
2,10
3,3
6,14
7,3
4,10
5,3
2,10
3,3
6,20
7,3
4,16
5,3
6,10
7,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
0,11
1,3
4,10
5,3
2,29
3,3
4,11
5,3
2,10
3,3
0,13
1,3
4,10
5,3
0,10
1,3
2,14
3,3
0,13
