phase,duration
0,11
1,3
2,40
3,3
4,10
5,3
2,10
3,3
6,31
7,3
2,40
3,3
4,10
5,3
2,10
3,3
0,10
1,3
2,40
3,3
4,10
5,3
2,19
3,3
0,10
1,3
6,37
7,3
2,10
3,3
6,11
7,3
2,10
3,3
6,10
7,3
2,18
3,3
4,10
5,3
0,25
1,3
2,10
3,3
6,12
7,3
4,10
5,3
2,21
3,3
6,10
7,3
2,13
3,3
6,10
7,3
0,10
1,3
2,12
3,3
4,10
5,3
2,10
3,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,10
5,3
6,10
7,3
0,10
1,3
2,10
3,3
6,10
7,3
0,10
1,3
2,10
3,3
0,10
1,3
2,10
3,3
4,13
5,3
2,10
3,3
4,10
5,3
6,12
7,3
0,15
1,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,14
7,3
2,13
3,3
6,10
7,3
2,18
3,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
4,26
5,3
0,10
1,3
2,10
3,3
6,10
7,3
2,10
3,3
6,11
7,3
2,19
3,3
6,10
7,3
0,10
1,3
2,25
3,3
6,10
7,3
2,10
3,3
0,11
1,3
6,27
7,3
2,10
3,3
6,10
7,3
0,10
1,3
2,10
3,3
4,10
5,3
2,13
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,13
3,3
0,10
1,3
2,13
3,3
6,12
7,3
4,10
5,3
6,10
7,3
4,10
5,3
6,10
7,3
4,10
5,3
6,24
7,3
0,16
1,3
4,10
5,3
6,10
7,3
2,13
3,3
4,10
5,3
2,10
3,3
6,10
7,3
0,10
1,3
6,10
7,3
2,10
3,3
6,10
7,3
4,10
5,3
2,27
3,3
6,10
7,3
2,18
3,3
